|subcategory    |product                |orderqty|unitprice|
|---------------|-----------------------|--------|---------|
|Pedals         |Touring Pedal          |550     |62.9895  |
|Saddles        |LL Mountain Seat/Saddle|550     |21.0945  |
|Saddles        |ML Mountain Seat/Saddle|550     |30.4395  |
|Saddles        |HL Mountain Seat/Saddle|550     |40.9395  |
|Saddles        |LL Road Seat/Saddle    |550     |21.0945  |
|Saddles        |ML Road Seat/Saddle    |550     |30.4395  |
|Pedals         |HL Road Pedal          |550     |62.9895  |
|Pedals         |LL Mountain Pedal      |550     |31.4895  |
|Pedals         |ML Mountain Pedal      |550     |48.2895  |
|Saddles        |LL Mountain Seat/Saddle|550     |21.0945  |
|Saddles        |ML Mountain Seat/Saddle|550     |30.4395  |
|Saddles        |HL Road Seat/Saddle    |550     |40.9395  |
|Pedals         |LL Mountain Pedal      |550     |31.4895  |
|Pedals         |ML Mountain Pedal      |550     |48.2895  |
|Saddles        |LL Road Seat/Saddle    |550     |21.0945  |
|Saddles        |ML Road Seat/Saddle    |550     |30.4395  |
|Saddles        |HL Mountain Seat/Saddle|550     |40.9395  |
|Pedals         |HL Mountain Pedal      |550     |62.9895  |
|Pedals         |LL Road Pedal          |550     |31.4895  |
|Pedals         |ML Road Pedal          |550     |48.2895  |
|Pedals         |LL Road Pedal          |550     |31.4895  |
|Pedals         |ML Road Pedal          |550     |48.2895  |
|Tires and Tubes|LL Road Tire           |550     |34.8705  |
|Tires and Tubes|ML Road Tire           |550     |39.7635  |
|Tires and Tubes|LL Road Tire           |550     |34.3455  |
|Tires and Tubes|ML Road Tire           |550     |39.2385  |
|Tires and Tubes|LL Mountain Tire       |550     |32.7705  |
|Tires and Tubes|ML Mountain Tire       |550     |37.086   |
|Tires and Tubes|HL Mountain Tire       |550     |43.0395  |
|Brakes         |Front Brakes           |550     |82.8345  |
|Brakes         |Rear Brakes            |550     |82.8345  |
|Tires and Tubes|HL Mountain Tire       |550     |42.5145  |
|Tires and Tubes|Mountain Tire Tube     |550     |5.586    |
|Chains         |Chain                  |60      |15.7395  |
|Tires and Tubes|HL Road Tire           |550     |43.4595  |
|Tires and Tubes|Touring Tire           |550     |37.6215  |
|Tires and Tubes|LL Mountain Tire       |550     |32.2455  |
|Tires and Tubes|ML Mountain Tire       |550     |36.561   |
|Pedals         |Touring Pedal          |550     |62.9895  |
|Saddles        |HL Road Seat/Saddle    |550     |40.9395  |
|Saddles        |LL Touring Seat/Saddle |550     |21.0945  |
|Saddles        |ML Touring Seat/Saddle |550     |30.4395  |
|Saddles        |HL Touring Seat/Saddle |550     |40.9395  |
|Pedals         |HL Road Pedal          |550     |62.9895  |
|Pedals         |LL Mountain Pedal      |550     |31.4895  |
|Pedals         |ML Mountain Pedal      |550     |48.2895  |
|Saddles        |LL Mountain Seat/Saddle|550     |21.0945  |
|Saddles        |ML Mountain Seat/Saddle|550     |30.4395  |
|Saddles        |HL Road Seat/Saddle    |550     |40.9395  |
|Pedals         |LL Mountain Pedal      |550     |31.4895  |
|Pedals         |ML Mountain Pedal      |550     |48.2895  |
|Saddles        |LL Road Seat/Saddle    |550     |21.0945  |
|Saddles        |ML Road Seat/Saddle    |550     |30.4395  |
|Saddles        |HL Mountain Seat/Saddle|550     |40.9395  |
|Pedals         |HL Mountain Pedal      |550     |62.9895  |
|Pedals         |LL Road Pedal          |550     |31.4895  |
|Pedals         |ML Road Pedal          |550     |48.2895  |
|Pedals         |LL Road Pedal          |550     |31.4895  |
|Pedals         |ML Road Pedal          |550     |48.2895  |
|Tires and Tubes|HL Road Tire           |550     |43.9845  |
|Tires and Tubes|Touring Tire           |550     |38.1465  |
|Tires and Tubes|LL Road Tire           |550     |34.3455  |
|Tires and Tubes|ML Road Tire           |550     |39.2385  |
|Tires and Tubes|LL Mountain Tire       |550     |32.7705  |
|Tires and Tubes|ML Mountain Tire       |550     |37.086   |
|Tires and Tubes|HL Mountain Tire       |550     |43.0395  |
|Brakes         |Front Brakes           |550     |82.8345  |
|Brakes         |Rear Brakes            |550     |82.8345  |
|Tires and Tubes|HL Mountain Tire       |550     |42.5145  |
|Tires and Tubes|Mountain Tire Tube     |550     |5.586    |
|Chains         |Chain                  |60      |15.7395  |
|Tires and Tubes|Road Tire Tube         |550     |6.531    |
|Tires and Tubes|Touring Tire Tube      |550     |6.1845   |
|Tires and Tubes|LL Mountain Tire       |550     |32.2455  |
|Tires and Tubes|ML Mountain Tire       |550     |36.561   |
|Pedals         |Touring Pedal          |550     |62.9895  |
|Saddles        |LL Mountain Seat/Saddle|550     |21.0945  |
|Saddles        |ML Mountain Seat/Saddle|550     |30.4395  |
|Saddles        |HL Mountain Seat/Saddle|550     |40.9395  |
|Saddles        |LL Road Seat/Saddle    |550     |21.0945  |
|Saddles        |ML Road Seat/Saddle    |550     |30.4395  |
|Saddles        |HL Road Seat/Saddle    |550     |40.9395  |
|Pedals         |LL Mountain Pedal      |550     |31.4895  |
|Pedals         |ML Mountain Pedal      |550     |48.2895  |
|Saddles        |LL Touring Seat/Saddle |550     |21.0945  |
|Saddles        |ML Touring Seat/Saddle |550     |30.4395  |
|Saddles        |LL Mountain Seat/Saddle|550     |21.0945  |
|Saddles        |ML Mountain Seat/Saddle|550     |30.4395  |
|Pedals         |LL Mountain Pedal      |550     |31.4895  |
|Pedals         |ML Mountain Pedal      |550     |48.2895  |
|Saddles        |LL Road Seat/Saddle    |550     |21.0945  |
|Saddles        |ML Road Seat/Saddle    |550     |30.4395  |
|Saddles        |HL Mountain Seat/Saddle|550     |40.9395  |
|Pedals         |HL Mountain Pedal      |550     |62.9895  |
|Pedals         |LL Road Pedal          |550     |31.4895  |
|Pedals         |ML Road Pedal          |550     |48.2895  |
|Pedals         |LL Road Pedal          |550     |31.4895  |
|Pedals         |ML Road Pedal          |550     |48.2895  |
|Tires and Tubes|LL Road Tire           |550     |34.8705  |
|Tires and Tubes|ML Road Tire           |550     |39.7635  |
|Tires and Tubes|HL Road Tire           |550     |43.9845  |
|Tires and Tubes|LL Road Tire           |550     |34.3455  |
|Tires and Tubes|ML Road Tire           |550     |39.2385  |
|Tires and Tubes|LL Mountain Tire       |550     |32.7705  |
|Tires and Tubes|ML Mountain Tire       |550     |37.086   |
|Tires and Tubes|HL Mountain Tire       |550     |43.0395  |
|Brakes         |Front Brakes           |550     |82.8345  |
|Brakes         |Rear Brakes            |550     |82.8345  |
|Tires and Tubes|HL Mountain Tire       |550     |42.5145  |
|Tires and Tubes|Mountain Tire Tube     |550     |5.586    |
