|productid|name                            |total_ordered|
|---------|--------------------------------|-------------|
|712      |AWC Logo Cap                    |8,311        |
|870      |Water Bottle - 30 oz.           |6,815        |
|711      |Sport-100 Helmet, Blue          |6,743        |
|715      |Long-Sleeve Logo Jersey, L      |6,592        |
|708      |Sport-100 Helmet, Black         |6,532        |
|707      |Sport-100 Helmet, Red           |6,266        |
|864      |Classic Vest, S                 |4,247        |
|873      |Patch Kit/8 Patches             |3,865        |
|884      |Short-Sleeve Classic Jersey, XL |3,864        |
|714      |Long-Sleeve Logo Jersey, M      |3,636        |
|859      |Half-Finger Gloves, M           |3,464        |
|863      |Full-Finger Gloves, L           |3,378        |
|877      |Bike Wash - Dissolver           |3,319        |
|867      |Women's Mountain Shorts, S      |3,296        |
|869      |Women's Mountain Shorts, L      |3,244        |
|876      |Hitch Rack - 4-Bike             |3,166        |
|921      |Mountain Tire Tube              |3,095        |
|716      |Long-Sleeve Logo Jersey, XL     |2,980        |
|782      |Mountain-200 Black, 38          |2,977        |
|883      |Short-Sleeve Classic Jersey, L  |2,848        |
|880      |Hydration Pack - 70 oz.         |2,761        |
|783      |Mountain-200 Black, 42          |2,664        |
|875      |Racing Socks, L                 |2,473        |
|779      |Mountain-200 Silver, 38         |2,394        |
|922      |Road Tire Tube                  |2,376        |
|865      |Classic Vest, M                 |2,284        |
|770      |Road-650 Black, 52              |2,270        |
|762      |Road-650 Red, 44                |2,254        |
|780      |Mountain-200 Silver, 42         |2,234        |
|760      |Road-650 Red, 60                |2,232        |
|781      |Mountain-200 Silver, 46         |2,216        |
|862      |Full-Finger Gloves, M           |2,206        |
|858      |Half-Finger Gloves, S           |2,188        |
|854      |Women's Tights, L               |2,123        |
|878      |Fender Set - Mountain           |2,121        |
|784      |Mountain-200 Black, 46          |2,111        |
|852      |Women's Tights, S               |2,072        |
|871      |Mountain Bottle Cage            |2,025        |
|881      |Short-Sleeve Classic Jersey, S  |1,955        |
|761      |Road-650 Red, 62                |1,896        |
|763      |Road-650 Red, 48                |1,888        |
|765      |Road-650 Black, 58              |1,871        |
|801      |Road-550-W Yellow, 48           |1,763        |
|797      |Road-550-W Yellow, 38           |1,744        |
|872      |Road Bottle Cage                |1,712        |
|793      |Road-250 Black, 44              |1,642        |
|976      |Road-350-W Yellow, 48           |1,622        |
|856      |Men's Bib-Shorts, M             |1,616        |
|738      |LL Road Frame - Black, 52       |1,581        |
|998      |Road-750 Black, 48              |1,556        |
