|productid|name                    |safetystocklevel|
|---------|------------------------|----------------|
|1        |Adjustable Race         |1,000           |
|3        |BB Ball Bearing         |800             |
|2        |Bearing Ball            |1,000           |
|316      |Blade                   |800             |
|324      |Chain Stays             |1,000           |
|322      |Chainring               |1,000           |
|320      |Chainring Bolts         |1,000           |
|321      |Chainring Nut           |1,000           |
|505      |Cone-Shaped Race        |1,000           |
|323      |Crown Race              |1,000           |
|504      |Cup-Shaped Race         |1,000           |
|325      |Decal 1                 |1,000           |
|326      |Decal 2                 |1,000           |
|327      |Down Tube               |800             |
|409      |External Lock Washer 1  |1,000           |
|411      |External Lock Washer 2  |1,000           |
|403      |External Lock Washer 3  |1,000           |
|404      |External Lock Washer 4  |1,000           |
|406      |External Lock Washer 5  |1,000           |
|408      |External Lock Washer 6  |1,000           |
|407      |External Lock Washer 7  |1,000           |
|410      |External Lock Washer 8  |1,000           |
|405      |External Lock Washer 9  |1,000           |
|341      |Flat Washer 1           |1,000           |
|343      |Flat Washer 2           |1,000           |
|346      |Flat Washer 3           |1,000           |
|345      |Flat Washer 4           |1,000           |
|348      |Flat Washer 5           |1,000           |
|342      |Flat Washer 6           |1,000           |
|349      |Flat Washer 7           |1,000           |
|347      |Flat Washer 8           |1,000           |
|344      |Flat Washer 9           |1,000           |
|350      |Fork Crown              |800             |
|331      |Fork End                |800             |
|351      |Front Derailleur Cage   |800             |
|352      |Front Derailleur Linkage|800             |
|355      |Guide Pulley            |800             |
|398      |Handlebar Tube          |800             |
|399      |Head Tube               |800             |
|4        |Headset Ball Bearings   |800             |
|386      |Hex Nut 1               |1,000           |
|387      |Hex Nut 10              |1,000           |
|388      |Hex Nut 11              |1,000           |
|384      |Hex Nut 12              |1,000           |
|385      |Hex Nut 13              |1,000           |
|393      |Hex Nut 14              |1,000           |
|394      |Hex Nut 15              |1,000           |
|377      |Hex Nut 16              |1,000           |
|378      |Hex Nut 17              |1,000           |
|396      |Hex Nut 18              |1,000           |
|397      |Hex Nut 19              |1,000           |
|389      |Hex Nut 2               |1,000           |
|390      |Hex Nut 20              |1,000           |
|391      |Hex Nut 21              |1,000           |
|382      |Hex Nut 22              |1,000           |
|383      |Hex Nut 23              |1,000           |
|392      |Hex Nut 3               |1,000           |
|395      |Hex Nut 4               |1,000           |
|375      |Hex Nut 5               |1,000           |
|376      |Hex Nut 6               |1,000           |
|379      |Hex Nut 7               |1,000           |
|380      |Hex Nut 8               |1,000           |
