|salesorderid|product_name                   |orderqty|unitprice |
|------------|-------------------------------|--------|----------|
|50,270      |Full-Finger Gloves, L          |44      |17.0955   |
|67,266      |Women's Mountain Shorts, L     |41      |31.4955   |
|51,783      |Women's Mountain Shorts, S     |40      |34.995    |
|57,186      |Women's Mountain Shorts, L     |40      |34.995    |
|48,089      |Full-Finger Gloves, L          |39      |18.995    |
|67,266      |Women's Mountain Shorts, S     |38      |34.995    |
|51,783      |Women's Mountain Shorts, L     |36      |34.995    |
|51,109      |Classic Vest, S                |36      |31.75     |
|46,673      |Full-Finger Gloves, L          |35      |18.995    |
|46,610      |Full-Finger Gloves, L          |35      |18.995    |
|46,611      |Full-Finger Gloves, L          |34      |18.995    |
|47,065      |Full-Finger Gloves, L          |34      |18.995    |
|46,647      |Full-Finger Gloves, L          |34      |18.995    |
|47,698      |Full-Finger Gloves, L          |33      |18.995    |
|57,186      |Women's Mountain Shorts, S     |33      |34.995    |
|46,633      |Full-Finger Gloves, L          |33      |18.995    |
|55,241      |Women's Mountain Shorts, S     |33      |34.995    |
|50,294      |Full-Finger Gloves, L          |33      |18.995    |
|51,089      |Women's Mountain Shorts, L     |33      |34.995    |
|46,345      |Mountain Bike Socks, M         |32      |4.75      |
|47,045      |Full-Finger Gloves, L          |32      |18.995    |
|47,400      |Long-Sleeve Logo Jersey, L     |32      |24.0337   |
|67,297      |Women's Mountain Shorts, L     |32      |34.995    |
|51,789      |Classic Vest, S                |32      |31.75     |
|53,527      |Women's Mountain Shorts, L     |32      |34.995    |
|58,972      |Women's Mountain Shorts, L     |32      |34.995    |
|49,843      |Full-Finger Gloves, L          |31      |18.995    |
|51,108      |Women's Mountain Shorts, L     |31      |34.995    |
|51,111      |Women's Mountain Shorts, S     |31      |34.995    |
|48,350      |Full-Finger Gloves, L          |31      |18.995    |
|71,841      |Women's Mountain Shorts, S     |31      |34.995    |
|53,460      |Road-350-W Yellow, 48          |30      |850.495   |
|51,751      |Hitch Rack - 4-Bike            |29      |60        |
|51,154      |Classic Vest, S                |29      |31.75     |
|47,065      |Full-Finger Gloves, M          |29      |18.995    |
|49,849      |Full-Finger Gloves, L          |28      |18.995    |
|48,770      |Full-Finger Gloves, L          |28      |18.995    |
|55,282      |Classic Vest, S                |28      |31.75     |
|69,424      |Racing Socks, L                |28      |4.495     |
|47,355      |Women's Tights, S              |28      |37.495    |
|53,475      |Hitch Rack - 4-Bike            |28      |60        |
|46,622      |Full-Finger Gloves, L          |27      |18.995    |
|47,399      |Full-Finger Gloves, L          |27      |18.995    |
|46,633      |Full-Finger Gloves, M          |27      |18.995    |
|55,261      |Women's Mountain Shorts, L     |27      |34.995    |
|51,151      |AWC Logo Cap                   |27      |4.495     |
|51,790      |Women's Mountain Shorts, S     |27      |34.995    |
|47,352      |Full-Finger Gloves, L          |27      |18.995    |
|58,959      |Women's Mountain Shorts, S     |27      |34.995    |
|55,265      |Racing Socks, L                |27      |4.495     |
|51,822      |Women's Mountain Shorts, L     |26      |34.995    |
|47,664      |Full-Finger Gloves, L          |26      |18.995    |
|58,905      |Women's Mountain Shorts, L     |26      |34.995    |
|69,561      |Women's Mountain Shorts, S     |26      |34.995    |
|50,310      |Full-Finger Gloves, L          |26      |18.995    |
|53,536      |Classic Vest, S                |26      |31.75     |
|55,282      |Touring-1000 Yellow, 46        |26      |1,192.035 |
|43,906      |Mountain Bike Socks, M         |26      |4.75      |
|59,011      |Classic Vest, S                |26      |31.75     |
|48,340      |Full-Finger Gloves, L          |26      |18.995    |
|55,253      |Women's Mountain Shorts, L     |26      |34.995    |
|51,751      |Classic Vest, S                |26      |31.75     |
|48,318      |Full-Finger Gloves, L          |26      |18.995    |
|51,147      |Water Bottle - 30 oz.          |26      |2.495     |
|67,272      |Women's Mountain Shorts, L     |26      |34.995    |
|51,734      |Classic Vest, S                |25      |31.75     |
|67,274      |Women's Mountain Shorts, S     |25      |34.995    |
|53,484      |Women's Mountain Shorts, S     |25      |34.995    |
|57,080      |Women's Mountain Shorts, S     |25      |34.995    |
|55,261      |Women's Mountain Shorts, S     |25      |34.995    |
|71,783      |Road-350-W Yellow, 48          |25      |850.495   |
|51,127      |Women's Mountain Shorts, L     |25      |34.995    |
|53,527      |Women's Mountain Shorts, S     |25      |34.995    |
|47,400      |AWC Logo Cap                   |25      |4.3221    |
|53,513      |Classic Vest, S                |25      |31.75     |
|50,295      |Full-Finger Gloves, L          |25      |18.995    |
|53,570      |Classic Vest, S                |25      |31.75     |
|53,480      |Women's Mountain Shorts, L     |25      |34.995    |
|51,810      |Bike Wash - Dissolver          |25      |3.975     |
|51,131      |Short-Sleeve Classic Jersey, XL|25      |26.995    |
|51,081      |Women's Mountain Shorts, S     |25      |34.995    |
|53,621      |Women's Mountain Shorts, S     |25      |34.995    |
|49,157      |Full-Finger Gloves, L          |24      |20.8945   |
|58,958      |Classic Vest, S                |24      |34.925    |
|51,154      |Sport-100 Helmet, Red          |24      |15.7455   |
|69,437      |Classic Vest, S                |24      |34.925    |
|53,454      |Women's Mountain Shorts, L     |24      |38.4945   |
|53,616      |Hitch Rack - 4-Bike            |24      |66        |
|46,947      |Full-Finger Gloves, M          |24      |20.8945   |
|51,734      |AWC Logo Cap                   |24      |4.9445    |
|51,810      |Classic Vest, S                |24      |34.925    |
|48,767      |Full-Finger Gloves, L          |24      |20.8945   |
|65,235      |Women's Mountain Shorts, L     |24      |38.4945   |
|53,460      |Classic Vest, S                |24      |34.925    |
|51,131      |Classic Vest, S                |24      |34.925    |
|47,355      |Sport-100 Helmet, Red          |24      |18.5043   |
|51,711      |Women's Mountain Shorts, L     |24      |38.4945   |
|71,852      |Racing Socks, L                |24      |4.9445    |
|51,855      |Racing Socks, L                |24      |4.9445    |
|51,143      |Sport-100 Helmet, Black        |24      |15.7455   |
|51,721      |Water Bottle - 30 oz.          |24      |2.7445    |
|47,454      |Full-Finger Gloves, M          |23      |20.8945   |
|61,211      |Women's Mountain Shorts, L     |23      |38.4945   |
|61,217      |Women's Mountain Shorts, S     |23      |38.4945   |
|44,284      |Mountain Bike Socks, M         |23      |5.225     |
|53,460      |Short-Sleeve Classic Jersey, XL|23      |29.6945   |
|51,140      |Sport-100 Helmet, Blue         |23      |15.7455   |
|50,310      |Full-Finger Gloves, M          |23      |20.8945   |
|51,739      |Classic Vest, S                |23      |34.925    |
|71,797      |Classic Vest, S                |23      |34.925    |
|50,270      |Full-Finger Gloves, M          |23      |20.8945   |
|51,120      |Sport-100 Helmet, Blue         |23      |15.7455   |
|51,853      |Women's Mountain Shorts, S     |23      |38.4945   |
|51,832      |Women's Mountain Shorts, L     |23      |38.4945   |
|55,328      |Classic Vest, S                |23      |34.925    |
|51,748      |Bike Wash - Dissolver          |23      |4.3725    |
|51,131      |HL Touring Frame - Blue, 54    |23      |552.1505  |
|69,503      |Racing Socks, L                |23      |4.9445    |
|48,341      |AWC Logo Cap                   |23      |4.7543    |
|51,833      |Women's Mountain Shorts, S     |23      |38.4945   |
|47,395      |Road-650 Red, 60               |23      |430.6445  |
|51,169      |Classic Vest, S                |23      |34.925    |
|71,784      |Classic Vest, S                |23      |34.925    |
|51,721      |Long-Sleeve Logo Jersey, L     |23      |27.4945   |
|51,092      |Short-Sleeve Classic Jersey, XL|22      |29.6945   |
|50,293      |Full-Finger Gloves, M          |22      |20.8945   |
|57,125      |Short-Sleeve Classic Jersey, XL|22      |29.6945   |
|53,513      |Short-Sleeve Classic Jersey, XL|22      |29.6945   |
|51,169      |Water Bottle - 30 oz.          |22      |2.7445    |
|63,214      |Classic Vest, S                |22      |34.925    |
|51,132      |Road-350-W Yellow, 40          |22      |935.5445  |
|44,098      |Mountain Bike Socks, M         |22      |5.225     |
|61,216      |Women's Mountain Shorts, L     |22      |38.4945   |
|53,485      |Classic Vest, S                |22      |34.925    |
|53,534      |Racing Socks, L                |22      |4.9445    |
|53,536      |Long-Sleeve Logo Jersey, L     |22      |27.4945   |
|51,810      |Short-Sleeve Classic Jersey, XL|21      |29.6945   |
|57,138      |Women's Mountain Shorts, L     |21      |38.4945   |
|50,203      |Road-650 Black, 52             |21      |430.6445  |
|55,239      |Women's Mountain Shorts, L     |21      |38.4945   |
|55,322      |Short-Sleeve Classic Jersey, XL|21      |29.6945   |
|48,292      |Full-Finger Gloves, L          |21      |20.8945   |
|51,739      |Hitch Rack - 4-Bike            |21      |66        |
|49,869      |Full-Finger Gloves, L          |21      |20.8945   |
|46,616      |Road-650 Red, 60               |21      |430.6445  |
|48,031      |Full-Finger Gloves, M          |21      |20.8945   |
|46,660      |Road-650 Black, 58             |21      |430.6445  |
|47,400      |Sport-100 Helmet, Blue         |21      |18.5043   |
|51,739      |Sport-100 Helmet, Black        |21      |19.2445   |
|43,881      |Mountain Bike Socks, M         |21      |5.225     |
|59,074      |Classic Vest, S                |21      |34.925    |
|69,476      |Women's Mountain Shorts, L     |21      |38.4945   |
|71,805      |Classic Vest, S                |21      |34.925    |
|51,823      |Touring-1000 Yellow, 60        |21      |953.628   |
|53,465      |Short-Sleeve Classic Jersey, XL|21      |29.6945   |
|51,844      |Racing Socks, L                |21      |4.9445    |
|51,092      |Sport-100 Helmet, Blue         |21      |15.7455   |
|57,038      |Racing Socks, L                |21      |4.9445    |
|49,831      |Long-Sleeve Logo Jersey, L     |21      |26.437    |
|51,096      |Road-750 Black, 48             |21      |296.9945  |
|53,483      |Hitch Rack - 4-Bike            |21      |66        |
|46,660      |Road-650 Black, 52             |21      |430.6445  |
|53,460      |AWC Logo Cap                   |21      |4.9445    |
|53,460      |Short-Sleeve Classic Jersey, L |21      |29.6945   |
|51,131      |Touring-1000 Blue, 60          |21      |1,311.2385|
|47,680      |Full-Finger Gloves, L          |21      |20.8945   |
|51,751      |Short-Sleeve Classic Jersey, XL|21      |29.6945   |
|51,109      |Sport-100 Helmet, Red          |20      |15.7455   |
|63,131      |Women's Mountain Shorts, S     |20      |38.4945   |
|51,160      |Short-Sleeve Classic Jersey, XL|20      |29.6945   |
|49,151      |Full-Finger Gloves, L          |20      |20.8945   |
|67,349      |Classic Vest, S                |20      |34.925    |
|58,972      |Women's Mountain Shorts, S     |20      |38.4945   |
|58,918      |AWC Logo Cap                   |20      |4.9445    |
|58,931      |Classic Vest, S                |20      |34.925    |
|46,971      |Full-Finger Gloves, L          |20      |20.8945   |
|55,277      |Women's Mountain Shorts, L     |20      |38.4945   |
|58,927      |Short-Sleeve Classic Jersey, XL|20      |29.6945   |
|50,312      |Full-Finger Gloves, L          |20      |20.8945   |
|69,471      |Women's Mountain Shorts, L     |20      |38.4945   |
|51,143      |Long-Sleeve Logo Jersey, L     |20      |27.4945   |
|51,160      |AWC Logo Cap                   |20      |4.9445    |
|55,324      |Water Bottle - 30 oz.          |20      |2.7445    |
|53,570      |Hydration Pack - 70 oz.        |20      |30.2445   |
|58,958      |Hitch Rack - 4-Bike            |20      |66        |
|50,668      |Women's Tights, L              |20      |41.2445   |
|51,718      |Women's Mountain Shorts, S     |20      |38.4945   |
|71,803      |Women's Mountain Shorts, S     |20      |38.4945   |
|69,493      |Racing Socks, L                |20      |4.9445    |
|59,074      |Short-Sleeve Classic Jersey, XL|20      |29.6945   |
|53,472      |Sport-100 Helmet, Red          |20      |19.2445   |
|51,703      |Long-Sleeve Logo Jersey, L     |20      |27.4945   |
|71,949      |Classic Vest, S                |20      |34.925    |
|47,456      |Full-Finger Gloves, L          |20      |20.8945   |
|49,061      |Full-Finger Gloves, L          |20      |20.8945   |
|49,166      |Full-Finger Gloves, L          |20      |20.8945   |
|51,131      |Bike Wash - Dissolver          |20      |4.3725    |
|69,416      |Racing Socks, L                |20      |4.9445    |
|53,465      |Sport-100 Helmet, Black        |20      |19.2445   |
|58,981      |Water Bottle - 30 oz.          |20      |2.7445    |
|47,355      |Road-650 Red, 60               |20      |430.6445  |
|46,987      |Women's Tights, S              |20      |41.2445   |
|51,753      |Racing Socks, L                |20      |4.9445    |
|58,909      |Hitch Rack - 4-Bike            |20      |66        |
|55,268      |Short-Sleeve Classic Jersey, XL|20      |29.6945   |
|51,839      |Hydration Pack - 70 oz.        |20      |30.2445   |
|53,621      |Women's Mountain Shorts, L     |20      |38.4945   |
|51,751      |Half-Finger Gloves, M          |20      |13.4695   |
|47,673      |Full-Finger Gloves, L          |20      |20.8945   |
|51,090      |Hitch Rack - 4-Bike            |20      |66        |
|51,157      |Classic Vest, S                |20      |34.925    |
|51,090      |Hydration Pack - 70 oz.        |20      |30.2445   |
|51,122      |Racing Socks, L                |20      |4.9445    |
|51,154      |Short-Sleeve Classic Jersey, XL|19      |29.6945   |
|58,918      |Classic Vest, S                |19      |34.925    |
|71,794      |Short-Sleeve Classic Jersey, XL|19      |29.6945   |
|51,734      |Long-Sleeve Logo Jersey, L     |19      |27.4945   |
|51,739      |Classic Vest, M                |19      |34.925    |
|51,741      |Racing Socks, L                |19      |4.9445    |
|53,513      |AWC Logo Cap                   |19      |4.9445    |
|51,751      |AWC Logo Cap                   |19      |4.9445    |
|47,055      |Road-650 Red, 44               |19      |234.897   |
|57,138      |Women's Mountain Shorts, S     |19      |38.4945   |
|51,160      |Classic Vest, S                |19      |34.925    |
|67,268      |Short-Sleeve Classic Jersey, XL|19      |29.6945   |
|48,076      |Full-Finger Gloves, L          |19      |20.8945   |
|51,131      |LL Touring Frame - Yellow, 62  |19      |183.381   |
|51,822      |Classic Vest, S                |19      |34.925    |
|51,828      |Racing Socks, L                |19      |4.9445    |
|57,054      |Touring-1000 Blue, 46          |19      |1,311.2385|
|51,168      |Classic Vest, S                |19      |34.925    |
|51,109      |AWC Logo Cap                   |19      |4.9445    |
|51,858      |Classic Vest, S                |19      |34.925    |
|53,458      |AWC Logo Cap                   |19      |4.9445    |
|53,458      |Classic Vest, S                |19      |34.925    |
|63,291      |Women's Mountain Shorts, L     |19      |38.4945   |
|50,745      |Full-Finger Gloves, L          |19      |20.8945   |
|53,475      |Short-Sleeve Classic Jersey, L |19      |29.6945   |
|53,472      |Hitch Rack - 4-Bike            |19      |66        |
|48,293      |Full-Finger Gloves, M          |19      |20.8945   |
|53,570      |Short-Sleeve Classic Jersey, XL|19      |29.6945   |
|67,304      |Road-350-W Yellow, 40          |19      |935.5445  |
|51,157      |Classic Vest, M                |19      |34.925    |
|50,663      |Half-Finger Gloves, M          |19      |12.9515   |
|50,322      |Full-Finger Gloves, L          |19      |20.8945   |
|67,316      |Classic Vest, S                |19      |34.925    |
|46,671      |Road-650 Red, 60               |19      |430.6445  |
|55,322      |AWC Logo Cap                   |19      |4.9445    |
|55,301      |Short-Sleeve Classic Jersey, XL|19      |29.6945   |
|47,400      |Men's Bib-Shorts, M            |19      |49.4945   |
|49,879      |Sport-100 Helmet, Black        |19      |18.5043   |
|46,974      |AWC Logo Cap                   |19      |4.7543    |
|47,400      |Full-Finger Gloves, L          |19      |20.8945   |
|51,721      |AWC Logo Cap                   |19      |4.9445    |
|58,976      |Racing Socks, L                |19      |4.9445    |
|47,976      |Full-Finger Gloves, M          |19      |20.8945   |
|61,238      |Short-Sleeve Classic Jersey, XL|19      |29.6945   |
|49,826      |Full-Finger Gloves, L          |19      |20.8945   |
|45,321      |Mountain Bike Socks, M         |19      |5.225     |
|59,010      |Women's Mountain Shorts, L     |19      |38.4945   |
|47,970      |Full-Finger Gloves, L          |19      |20.8945   |
|48,341      |Full-Finger Gloves, L          |19      |20.8945   |
|69,476      |Women's Mountain Shorts, S     |19      |38.4945   |
|49,157      |Full-Finger Gloves, M          |19      |20.8945   |
|47,400      |Women's Tights, S              |19      |41.2445   |
|55,268      |Bike Wash - Dissolver          |19      |4.3725    |
|46,957      |Full-Finger Gloves, L          |18      |20.8945   |
|46,625      |Women's Tights, L              |18      |41.2445   |
|51,864      |Women's Mountain Shorts, S     |18      |38.4945   |
|51,823      |Touring-1000 Blue, 60          |18      |1,311.2385|
|71,805      |Long-Sleeve Logo Jersey, L     |18      |27.4945   |
|53,458      |Classic Vest, M                |18      |34.925    |
|51,092      |Long-Sleeve Logo Jersey, L     |18      |27.4945   |
|51,090      |AWC Logo Cap                   |18      |4.9445    |
|51,131      |Hitch Rack - 4-Bike            |18      |66        |
|47,380      |Full-Finger Gloves, M          |18      |20.8945   |
|48,351      |Full-Finger Gloves, M          |18      |20.8945   |
|53,458      |Long-Sleeve Logo Jersey, L     |18      |27.4945   |
|47,355      |Men's Bib-Shorts, M            |18      |49.4945   |
|51,810      |Long-Sleeve Logo Jersey, L     |18      |27.4945   |
|53,460      |Hitch Rack - 4-Bike            |18      |66        |
|47,450      |Long-Sleeve Logo Jersey, L     |18      |26.437    |
|51,809      |Women's Mountain Shorts, S     |18      |38.4945   |
|46,626      |Full-Finger Gloves, L          |18      |20.8945   |
|51,703      |Half-Finger Gloves, M          |18      |13.4695   |
|47,369      |Road-650 Red, 62               |18      |430.6445  |
|51,791      |Short-Sleeve Classic Jersey, XL|18      |29.6945   |
|53,465      |AWC Logo Cap                   |18      |4.9445    |
|47,365      |Long-Sleeve Logo Jersey, L     |18      |26.437    |
|50,716      |Men's Bib-Shorts, M            |18      |49.4945   |
|47,365      |ML Mountain Rear Wheel         |18      |129.8138  |
|65,256      |Racing Socks, L                |18      |4.9445    |
|47,673      |Full-Finger Gloves, M          |18      |20.8945   |
|45,782      |Mountain Bike Socks, M         |18      |5.225     |
|61,182      |Women's Mountain Shorts, L     |18      |38.4945   |
|69,511      |Classic Vest, S                |18      |34.925    |
|47,353      |Full-Finger Gloves, M          |18      |20.8945   |
|57,136      |Racing Socks, L                |18      |4.9445    |
|51,168      |Hitch Rack - 4-Bike            |18      |66        |
|53,570      |Long-Sleeve Logo Jersey, L     |18      |27.4945   |
|58,951      |Women's Mountain Shorts, L     |18      |38.4945   |
|46,611      |Full-Finger Gloves, M          |18      |20.8945   |
|67,297      |Women's Mountain Shorts, S     |18      |38.4945   |
|51,774      |Classic Vest, S                |18      |34.925    |
|53,570      |Hitch Rack - 4-Bike            |18      |66        |
|58,957      |Women's Mountain Shorts, S     |18      |38.4945   |
|46,060      |Mountain Bike Socks, M         |18      |5.225     |
|57,180      |Touring-3000 Blue, 50          |18      |408.2925  |
|50,663      |Men's Bib-Shorts, M            |18      |49.4945   |
|53,573      |Women's Mountain Shorts, S     |18      |38.4945   |
|67,314      |Classic Vest, S                |18      |34.925    |
|47,378      |Full-Finger Gloves, L          |18      |20.8945   |
|67,315      |Racing Socks, L                |18      |4.9445    |
|51,169      |Long-Sleeve Logo Jersey, L     |18      |27.4945   |
|53,530      |Classic Vest, S                |18      |34.925    |
|71,808      |Classic Vest, S                |18      |34.925    |
|51,140      |AWC Logo Cap                   |18      |4.9445    |
