|productid|name                            |listprice|
|---------|--------------------------------|---------|
|816      |ML Mountain Front Wheel         |209.025  |
|821      |Touring Front Wheel             |218.01   |
|804      |HL Fork                         |229.49   |
|824      |ML Mountain Rear Wheel          |236.025  |
|829      |Touring Rear Wheel              |245.01   |
|819      |ML Road Front Wheel             |248.385  |
|924      |LL Mountain Frame - Black, 42   |249.79   |
|925      |LL Mountain Frame - Black, 44   |249.79   |
|926      |LL Mountain Frame - Black, 48   |249.79   |
|927      |LL Mountain Frame - Black, 52   |249.79   |
|943      |LL Mountain Frame - Black, 40   |249.79   |
|950      |ML Crankset                     |256.49   |
|920      |LL Mountain Frame - Silver, 52  |264.05   |
|919      |LL Mountain Frame - Silver, 48  |264.05   |
|944      |LL Mountain Frame - Silver, 40  |264.05   |
|918      |LL Mountain Frame - Silver, 44  |264.05   |
|917      |LL Mountain Frame - Silver, 42  |264.05   |
|827      |ML Road Rear Wheel              |275.385  |
|817      |HL Mountain Front Wheel         |300.215  |
|825      |HL Mountain Rear Wheel          |327.215  |
|820      |HL Road Front Wheel             |330.06   |
|895      |LL Touring Frame - Blue, 50     |333.42   |
|899      |LL Touring Frame - Yellow, 44   |333.42   |
|898      |LL Touring Frame - Blue, 62     |333.42   |
|901      |LL Touring Frame - Yellow, 54   |333.42   |
|900      |LL Touring Frame - Yellow, 50   |333.42   |
|903      |LL Touring Frame - Blue, 44     |333.42   |
|897      |LL Touring Frame - Blue, 58     |333.42   |
|896      |LL Touring Frame - Blue, 54     |333.42   |
|886      |LL Touring Frame - Yellow, 62   |333.42   |
|902      |LL Touring Frame - Yellow, 58   |333.42   |
|737      |LL Road Frame - Black, 48       |337.22   |
|727      |LL Road Frame - Red, 52         |337.22   |
|728      |LL Road Frame - Red, 58         |337.22   |
|729      |LL Road Frame - Red, 60         |337.22   |
|730      |LL Road Frame - Red, 62         |337.22   |
|736      |LL Road Frame - Black, 44       |337.22   |
|738      |LL Road Frame - Black, 52       |337.22   |
|722      |LL Road Frame - Black, 58       |337.22   |
|723      |LL Road Frame - Black, 60       |337.22   |
|724      |LL Road Frame - Black, 62       |337.22   |
|725      |LL Road Frame - Red, 44         |337.22   |
|726      |LL Road Frame - Red, 48         |337.22   |
|831      |ML Mountain Frame - Black, 44   |348.76   |
|830      |ML Mountain Frame - Black, 40   |348.76   |
|814      |ML Mountain Frame - Black, 38   |348.76   |
|832      |ML Mountain Frame - Black, 48   |348.76   |
|828      |HL Road Rear Wheel              |357.06   |
|906      |ML Mountain Frame-W - Silver, 46|364.09   |
|942      |ML Mountain Frame-W - Silver, 38|364.09   |
|904      |ML Mountain Frame-W - Silver, 40|364.09   |
|905      |ML Mountain Frame-W - Silver, 42|364.09   |
|951      |HL Crankset                     |404.99   |
|989      |Mountain-500 Black, 40          |539.99   |
|993      |Mountain-500 Black, 52          |539.99   |
|998      |Road-750 Black, 48              |539.99   |
|997      |Road-750 Black, 44              |539.99   |
|977      |Road-750 Black, 58              |539.99   |
|992      |Mountain-500 Black, 48          |539.99   |
