|purchaseorderid|purchaseorderdetailid|productid|orderqty|unitprice|
|---------------|---------------------|---------|--------|---------|
|1              |1                    |1        |4       |50.26    |
|2              |2                    |359      |3       |45.12    |
|2              |3                    |360      |3       |45.5805  |
|3              |4                    |530      |550     |16.086   |
|4              |5                    |4        |3       |57.0255  |
|5              |6                    |512      |550     |37.086   |
|6              |7                    |513      |550     |26.5965  |
|7              |8                    |317      |550     |27.0585  |
|7              |9                    |318      |550     |33.579   |
|7              |10                   |319      |550     |46.0635  |
|8              |11                   |403      |3       |47.4705  |
|8              |12                   |404      |3       |45.3705  |
|8              |13                   |405      |3       |49.644   |
|8              |14                   |406      |3       |45.3705  |
|8              |15                   |407      |3       |43.2705  |
|9              |16                   |422      |3       |47.523   |
|9              |17                   |423      |3       |45.423   |
|9              |18                   |424      |3       |49.6965  |
|9              |19                   |425      |3       |45.423   |
|9              |20                   |426      |3       |43.323   |
|10             |21                   |320      |3       |47.4705  |
|10             |22                   |321      |3       |42.798   |
|10             |23                   |322      |60      |25.4205  |
|11             |24                   |438      |3       |41.223   |
|11             |25                   |439      |3       |45.4965  |
|11             |26                   |440      |3       |41.223   |
|11             |27                   |441      |3       |39.123   |
|12             |28                   |941      |550     |62.9895  |
|13             |29                   |320      |3       |45.3705  |
|13             |30                   |321      |3       |40.488   |
|13             |31                   |322      |60      |26.3655  |
|14             |32                   |504      |3       |48.762   |
|15             |33                   |497      |3       |34.188   |
|16             |34                   |323      |3       |50.2635  |
|17             |35                   |523      |550     |10.731   |
|17             |36                   |524      |550     |14.1225  |
|18             |37                   |492      |60      |50.2635  |
|18             |38                   |493      |60      |57.1515  |
|18             |39                   |494      |60      |53.2035  |
|18             |40                   |495      |60      |63.693   |
|18             |41                   |496      |60      |48.909   |
|19             |42                   |908      |550     |21.0945  |
|19             |43                   |909      |550     |30.4395  |
|19             |44                   |910      |550     |40.9395  |
|19             |45                   |911      |550     |21.0945  |
|19             |46                   |912      |550     |30.4395  |
|20             |47                   |506      |60      |9.198    |
|21             |48                   |351      |550     |5.775    |
|21             |49                   |352      |550     |1.155    |
|21             |50                   |679      |550     |5.775    |
|22             |51                   |507      |550     |23.394   |
|22             |52                   |508      |550     |27.6465  |
|23             |53                   |355      |550     |1.365    |
|23             |54                   |940      |550     |62.9895  |
|23             |55                   |535      |550     |3.486    |
|24             |56                   |351      |550     |6.195    |
|24             |57                   |352      |550     |1.47     |
|25             |58                   |507      |550     |22.1655  |
|25             |59                   |508      |550     |29.2845  |
|26             |60                   |491      |3       |19.9815  |
|27             |61                   |341      |3       |41.1705  |
|27             |62                   |342      |3       |39.0705  |
|27             |63                   |343      |3       |43.344   |
|27             |64                   |344      |3       |39.0705  |
|27             |65                   |345      |3       |36.9705  |
|27             |66                   |346      |3       |41.244   |
|28             |67                   |935      |550     |31.4895  |
|28             |68                   |936      |550     |48.2895  |
|29             |69                   |375      |3       |43.344   |
|29             |70                   |376      |3       |39.0705  |
|29             |71                   |377      |3       |36.9705  |
|29             |72                   |378      |3       |41.244   |
|29             |73                   |379      |3       |36.9705  |
|30             |74                   |476      |550     |15.8865  |
|30             |75                   |477      |550     |11.6655  |
|30             |76                   |478      |550     |11.088   |
|31             |77                   |402      |3       |47.4705  |
|32             |78                   |510      |550     |23.079   |
|32             |79                   |511      |550     |29.274   |
