|purchaseorderid|vendorid|employeeid|subtotal  |
|---------------|--------|----------|----------|
|1              |1,580   |258       |201.04    |
|2              |1,496   |254       |272.1015  |
|3              |1,494   |257       |8,847.3   |
|4              |1,650   |261       |171.0765  |
|5              |1,654   |251       |20,397.3  |
|6              |1,664   |253       |14,628.075|
|7              |1,678   |255       |58,685.55 |
|8              |1,616   |256       |693.378   |
|9              |1,492   |259       |694.1655  |
|10             |1,602   |250       |1,796.0355|
|11             |1,540   |258       |501.1965  |
|12             |1,628   |254       |34,644.225|
|13             |1,604   |257       |1,839.5055|
|14             |1,690   |261       |146.286   |
|15             |1,566   |251       |102.564   |
|16             |1,698   |253       |150.7905  |
|17             |1,560   |255       |13,669.425|
|18             |1,692   |256       |16,393.23 |
|19             |1,696   |259       |79,204.125|
|20             |1,504   |260       |551.88    |
|21             |1,544   |250       |6,987.75  |
|22             |1,530   |254       |28,072.275|
|23             |1,508   |257       |37,312.275|
|24             |1,694   |261       |4,215.75  |
|25             |1,624   |251       |28,297.5  |
|26             |1,548   |253       |59.9445   |
|27             |1,598   |255       |722.61    |
|28             |1,658   |256       |43,878.45 |
|29             |1,536   |259       |592.7985  |
|30             |1,568   |260       |21,252    |
|31             |1,648   |258       |142.4115  |
|32             |1,646   |254       |28,794.15 |
|33             |1,672   |257       |421.155   |
|34             |1,600   |261       |1,276.275 |
|35             |1,522   |251       |2,003.925 |
|36             |1,570   |253       |50,860.425|
|37             |1,516   |255       |454.86    |
|38             |1,506   |256       |43,878.45 |
|39             |1,626   |252       |7,132.125 |
|40             |1,542   |260       |28,343.7  |
|41             |1,610   |258       |22,516.725|
|42             |1,638   |254       |34,644.225|
|43             |1,582   |257       |427.9275  |
|44             |1,510   |261       |143.0415  |
|45             |1,526   |250       |28,199.325|
|46             |1,644   |253       |3,713.325 |
|47             |1,680   |255       |63,831.075|
|48             |1,584   |256       |16,340.31 |
|49             |1,620   |259       |5,711.475 |
|50             |1,666   |260       |429.345   |
|51             |1,592   |258       |97.965    |
|52             |1,618   |254       |114.471   |
|53             |1,612   |252       |132.6465  |
|54             |1,586   |261       |43,878.45 |
|55             |1,500   |251       |418.95    |
|56             |1,656   |253       |525.7665  |
|57             |1,572   |255       |461.79    |
|58             |1,562   |256       |630.378   |
|59             |1,662   |259       |37.0755   |
|60             |1,682   |260       |21,558.075|
|61             |1,686   |258       |507.087   |
|62             |1,684   |254       |41,048.7  |
|63             |1,534   |257       |429.345   |
|64             |1,614   |261       |279.153   |
|65             |1,588   |251       |40,471.2  |
|66             |1,622   |253       |563.5665  |
|67             |1,632   |255       |62,092.8  |
|68             |1,608   |256       |5,948.25  |
|69             |1,576   |259       |91,117.95 |
|70             |1,590   |260       |525       |
|71             |1,514   |258       |2,003.6835|
|72             |1,498   |254       |26,455.275|
|73             |1,674   |257       |944.37    |
|74             |1,652   |261       |44,594.55 |
|75             |1,578   |251       |62,843.55 |
|76             |1,538   |253       |37,843.575|
|77             |1,556   |252       |25,531.275|
|78             |1,554   |256       |694.1655  |
|79             |1,688   |259       |125.748   |
|80             |1,580   |260       |150.7905  |
|81             |1,496   |258       |560.007   |
|82             |1,494   |254       |8,847.3   |
|83             |1,650   |257       |171.0765  |
|84             |1,654   |261       |20,397.3  |
|85             |1,664   |251       |14,628.075|
|86             |1,678   |253       |58,685.55 |
|87             |1,616   |255       |773.01    |
|88             |1,492   |252       |656.586   |
|89             |1,602   |259       |1,796.0355|
|90             |1,540   |260       |358.6275  |
|91             |1,628   |258       |34,644.225|
|92             |1,604   |250       |257.5755  |
|93             |1,690   |257       |146.286   |
|94             |1,566   |261       |102.564   |
|95             |1,698   |251       |150.7905  |
|96             |1,560   |253       |13,669.425|
|97             |1,692   |255       |16,393.23 |
|98             |1,696   |256       |73,377.15 |
|99             |1,504   |259       |551.88    |
|100            |1,544   |260       |6,987.75  |
|101            |1,530   |258       |28,072.275|
|102            |1,508   |254       |35,394.975|
|103            |1,694   |257       |3,407.25  |
|104            |1,624   |261       |28,297.5  |
|105            |1,548   |251       |59.9445   |
|106            |1,598   |253       |332.955   |
|107            |1,658   |255       |43,878.45 |
|108            |1,536   |256       |674.3835  |
|109            |1,568   |259       |31,398.675|
|110            |1,648   |250       |142.4115  |
|111            |1,646   |258       |19,236.525|
|112            |1,672   |254       |272.4435  |
|113            |1,600   |257       |1,276.275 |
|114            |1,522   |261       |2,003.925 |
|115            |1,570   |251       |50,860.425|
|116            |1,516   |253       |454.86    |
|117            |1,506   |255       |43,878.45 |
|118            |1,626   |256       |7,132.125 |
|119            |1,542   |259       |28,343.7  |
|120            |1,610   |260       |22,516.725|
|121            |1,638   |250       |34,644.225|
|122            |1,582   |254       |266.238   |
|123            |1,510   |257       |143.0415  |
|124            |1,526   |261       |28,199.325|
|125            |1,644   |251       |3,713.325 |
|126            |1,680   |253       |63,831.075|
|127            |1,584   |255       |16,340.31 |
|128            |1,620   |256       |5,711.475 |
|129            |1,666   |259       |665.028   |
|130            |1,592   |260       |97.965    |
|131            |1,618   |258       |114.471   |
|132            |1,612   |254       |132.6465  |
|133            |1,586   |257       |43,878.45 |
|134            |1,500   |261       |418.95    |
|135            |1,656   |251       |3,413.2455|
|136            |1,572   |253       |461.79    |
|137            |1,562   |255       |722.4525  |
|138            |1,662   |256       |37.0755   |
|139            |1,682   |252       |21,558.075|
|140            |1,686   |260       |351.855   |
|141            |1,684   |258       |45,172.05 |
|142            |1,534   |254       |267.183   |
|143            |1,614   |257       |415.8     |
|144            |1,588   |261       |40,471.2  |
|145            |1,622   |250       |662.0985  |
|146            |1,632   |253       |62,092.8  |
|147            |1,608   |255       |5,948.25  |
|148            |1,576   |256       |91,117.95 |
|149            |1,590   |259       |525       |
|150            |1,514   |260       |2,003.6835|
|151            |1,498   |258       |26,455.275|
|152            |1,674   |254       |944.37    |
|153            |1,652   |252       |6,993.525 |
|154            |1,578   |261       |36,122.625|
|155            |1,538   |251       |37,843.575|
|156            |1,556   |253       |25,531.275|
|157            |1,554   |255       |773.955   |
|158            |1,688   |256       |125.748   |
|159            |1,580   |259       |150.7905  |
|160            |1,496   |260       |391.545   |
|161            |1,494   |258       |8,847.3   |
|162            |1,650   |254       |171.0765  |
|163            |1,654   |257       |20,397.3  |
|164            |1,664   |261       |14,628.075|
|165            |1,678   |251       |58,685.55 |
|166            |1,616   |253       |481.887   |
|167            |1,492   |255       |710.955   |
|168            |1,602   |256       |1,796.0355|
|169            |1,540   |259       |664.3035  |
|170            |1,628   |260       |34,644.225|
|171            |1,604   |258       |1,581.93  |
|172            |1,690   |254       |146.286   |
|173            |1,566   |257       |102.564   |
|174            |1,698   |261       |150.7905  |
|175            |1,560   |251       |13,669.425|
|176            |1,692   |253       |13,458.69 |
|177            |1,696   |252       |101,720.85|
|178            |1,504   |256       |551.88    |
|179            |1,544   |259       |6,987.75  |
|180            |1,530   |260       |28,072.275|
|181            |1,508   |258       |1,917.3   |
|182            |1,694   |254       |4,215.75  |
|183            |1,624   |257       |28,297.5  |
|184            |1,548   |261       |59.9445   |
|185            |1,598   |251       |1,055.565 |
|186            |1,658   |253       |43,878.45 |
|187            |1,536   |255       |747.81    |
|188            |1,568   |252       |20,957.475|
|189            |1,648   |259       |142.4115  |
|190            |1,646   |260       |48,030.675|
|191            |1,672   |258       |28,597.023|
|192            |1,600   |250       |1,276.275 |
|193            |1,522   |257       |2,003.925 |
|194            |1,570   |261       |28,343.7  |
|195            |1,516   |251       |454.86    |
|196            |1,506   |253       |43,878.45 |
|197            |1,626   |255       |7,132.125 |
|198            |1,542   |256       |28,343.7  |
|199            |1,610   |259       |22,516.725|
|200            |1,638   |260       |34,644.225 |
|201            |1,582   |258       |532.917    |
|202            |1,510   |254       |143.0415   |
|203            |1,526   |257       |28,199.325 |
|204            |1,644   |261       |3,713.325  |
|205            |1,680   |251       |63,831.075 |
|206            |1,584   |253       |13,361.04  |
|207            |1,620   |255       |5,711.475  |
|208            |1,666   |256       |627.4485   |
|209            |1,592   |259       |97.965     |
|210            |1,618   |250       |114.471    |
|211            |1,612   |258       |132.6465   |
|212            |1,586   |254       |43,878.45  |
|213            |1,500   |257       |418.95     |
|214            |1,656   |261       |272.4435   |
|215            |1,572   |251       |461.79     |
|216            |1,562   |253       |544.7295   |
|217            |1,662   |255       |37.0755    |
|218            |1,682   |256       |21,558.075 |
|219            |1,686   |259       |612.108    |
|220            |1,684   |260       |65,240.175 |
|221            |1,534   |250       |534.807    |
|222            |1,614   |254       |273.0735   |
|223            |1,588   |257       |40,471.2   |
|224            |1,622   |261       |278.523    |
|225            |1,632   |251       |62,092.8   |
|226            |1,608   |253       |5,948.25   |
|227            |1,576   |255       |91,117.95  |
|228            |1,590   |256       |525        |
|229            |1,514   |259       |2,003.6835 |
|230            |1,498   |260       |26,455.275 |
|231            |1,674   |258       |944.37     |
|232            |1,652   |254       |44,594.55  |
|233            |1,578   |257       |26,720.925 |
|234            |1,538   |261       |37,843.575 |
|235            |1,556   |251       |25,531.275 |
|236            |1,554   |253       |482.517    |
|237            |1,688   |255       |125.748    |
|238            |1,580   |256       |150.7905   |
|239            |1,496   |252       |602.028    |
|240            |1,494   |260       |8,847.3    |
|241            |1,650   |258       |171.0765   |
|242            |1,654   |254       |20,397.3   |
|243            |1,664   |257       |14,628.075 |
|244            |1,678   |261       |33,350.625 |
|245            |1,616   |250       |475.6815   |
|246            |1,492   |253       |564.1965   |
|247            |1,602   |255       |1,796.0355 |
|248            |1,540   |256       |665.028    |
|249            |1,628   |259       |34,644.225 |
|250            |1,604   |260       |1,839.5055 |
|251            |1,690   |258       |146.286    |
|252            |1,566   |254       |102.564    |
|253            |1,698   |252       |150.7905   |
|254            |1,560   |261       |13,669.425 |
|255            |1,692   |251       |2,934.54   |
|256            |1,696   |253       |50,860.425 |
|257            |1,504   |255       |551.88     |
|258            |1,544   |256       |6,987.75   |
|259            |1,530   |259       |28,072.275 |
|260            |1,508   |260       |37,312.275 |
|261            |1,694   |258       |3,407.25   |
|262            |1,624   |254       |28,297.5   |
|263            |1,548   |257       |59.9445    |
|264            |1,598   |261       |240.723    |
|265            |1,658   |251       |43,878.45  |
